CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.683594 1691408888.3149
MEM 10.050781 1691408888.4213
MEM 16.136719 1691408888.5273
MEM 20.738281 1691408888.6392
MEM 23.593750 1691408888.7445
MEM 27.296875 1691408888.8516
MEM 28.382812 1691408888.9558
MEM 29.839844 1691408889.0657
MEM 30.871094 1691408889.1738
MEM 32.839844 1691408889.2859
MEM 33.742188 1691408889.3957
MEM 35.261719 1691408889.5050
MEM 36.710938 1691408889.6087
MEM 39.375000 1691408889.7134
MEM 40.617188 1691408889.8194
MEM 41.585938 1691408889.9251
MEM 46.917969 1691408890.0319
MEM 56.753906 1691408890.1453
MEM 74.273438 1691408890.2592
MEM 81.023438 1691408890.3660
MEM 91.785156 1691408890.4731
MEM 107.207031 1691408890.5791
MEM 110.273438 1691408890.6895
MEM 114.191406 1691408890.7931
MEM 123.511719 1691408890.8971
MEM 127.769531 1691408891.0074
MEM 130.273438 1691408891.1114
MEM 131.949219 1691408891.2233
MEM 132.804688 1691408891.3273
MEM 133.320312 1691408891.4387
MEM 137.054688 1691408891.5418
MEM 138.128906 1691408891.6458
MEM 140.585938 1691408891.7575
MEM 142.320312 1691408891.8613
MEM 143.355469 1691408891.9740
MEM 145.593750 1691408892.0778
MEM 147.414062 1691408892.1908
MEM 149.425781 1691408892.2938
MEM 152.046875 1691408892.3967
MEM 155.230469 1691408892.5075
MEM 157.421875 1691408892.6106
MEM 160.933594 1691408892.7233
MEM 163.097656 1691408892.8258
MEM 165.925781 1691408892.9377
MEM 167.136719 1691408893.0414
MEM 168.187500 1691408893.1438
MEM 172.015625 1691408893.2473
MEM 179.156250 1691408893.3576
MEM 184.976562 1691408893.4616
MEM 189.683594 1691408893.5681
MEM 191.562500 1691408893.6772
MEM 191.773438 1691408893.7929
MEM 192.023438 1691408893.8943
MEM 192.460938 1691408894.0061
MEM 192.707031 1691408894.1102
MEM 210.839844 1691408894.2158
MEM 227.148438 1691408894.3257
MEM 257.832031 1691408894.4377
MEM 274.523438 1691408894.5416
MEM 290.941406 1691408894.6453
MEM 318.882812 1691408894.7575
MEM 324.687500 1691408894.8602
MEM 343.085938 1691408894.9749
MEM 369.515625 1691408895.0788
MEM 388.554688 1691408895.1900
MEM 409.507812 1691408895.3021
MEM 436.359375 1691408895.4060
MEM 452.996094 1691408895.5098
MEM 468.886719 1691408895.6212
MEM 485.523438 1691408895.7251
MEM 503.406250 1691408895.8298
MEM 531.175781 1691408895.9407
MEM 549.820312 1691408896.0449
MEM 565.367188 1691408896.1563
MEM 582.683594 1691408896.2598
MEM 597.992188 1691408896.3608
MEM 622.722656 1691408896.4744
MEM 646.632812 1691408896.5788
MEM 661.960938 1691408896.6904
MEM 682.593750 1691408896.7943
MEM 711.171875 1691408896.9066
MEM 712.171875 1691408897.0101
MEM 740.921875 1691408897.1216
MEM 758.441406 1691408897.2262
MEM 775.320312 1691408897.3379
MEM 799.035156 1691408897.4427
MEM 810.152344 1691408897.5615
MEM 827.664062 1691408897.6734
MEM 841.722656 1691408897.7806
MEM 778.824219 1691408897.8907
MEM 734.253906 1691408898.0048
MEM 689.125000 1691408898.1084
MEM 640.226562 1691408898.2205
MEM 590.191406 1691408898.3244
MEM 541.546875 1691408898.4278
MEM 488.550781 1691408898.5411
MEM 443.300781 1691408898.6450
MEM 391.882812 1691408898.7570
MEM 346.976562 1691408898.8601
MEM 300.753906 1691408898.9713
MEM 254.566406 1691408899.0754
MEM 209.011719 1691408899.1875
MEM 209.632812 1691408899.2934
MEM 234.058594 1691408899.4048
MEM 253.761719 1691408899.5086
MEM 269.570312 1691408899.6211
MEM 293.839844 1691408899.7247
MEM 316.945312 1691408899.8275
MEM 332.863281 1691408899.9391
MEM 345.769531 1691408900.0430
MEM 364.625000 1691408900.1560
MEM 383.757812 1691408900.2598
MEM 412.285156 1691408900.3719
MEM 428.812500 1691408900.4759
MEM 447.464844 1691408900.5877
MEM 463.144531 1691408900.6935
MEM 478.031250 1691408900.8053
MEM 504.433594 1691408900.9094
MEM 526.199219 1691408901.0219
MEM 542.210938 1691408901.1264
MEM 564.382812 1691408901.2379
MEM 590.425781 1691408901.3418
MEM 591.425781 1691408901.4543
MEM 618.039062 1691408901.5572
MEM 638.750000 1691408901.6625
MEM 655.324219 1691408901.7737
MEM 679.183594 1691408901.8792
MEM 702.625000 1691408901.9894
MEM 719.511719 1691408902.0930
MEM 732.976562 1691408902.2050
MEM 751.996094 1691408902.3095
MEM 769.558594 1691408902.4208
MEM 796.597656 1691408902.5246
MEM 816.183594 1691408902.6290
MEM 831.554688 1691408902.7438
MEM 847.992188 1691408902.8443
MEM 782.769531 1691408902.9546
MEM 741.378906 1691408903.0570
MEM 697.539062 1691408903.1604
MEM 651.792969 1691408903.2717
MEM 599.605469 1691408903.3752
MEM 552.160156 1691408903.4875
MEM 505.390625 1691408903.5906
MEM 461.585938 1691408903.6928
MEM 406.351562 1691408903.8047
MEM 364.070312 1691408903.9071
MEM 317.816406 1691408904.0205
MEM 277.421875 1691408904.1239
MEM 225.324219 1691408904.2281
MEM 212.523438 1691408904.3402
MEM 226.734375 1691408904.4448
MEM 254.019531 1691408904.5557
MEM 273.218750 1691408904.6593
MEM 290.570312 1691408904.7707
MEM 318.625000 1691408904.8737
MEM 335.468750 1691408904.9779
MEM 343.792969 1691408905.0888
MEM 366.695312 1691408905.1918
MEM 381.984375 1691408905.3036
MEM 405.308594 1691408905.4079
MEM 430.437500 1691408905.5199
MEM 446.398438 1691408905.6229
MEM 463.933594 1691408905.7260
MEM 478.578125 1691408905.8374
MEM 498.000000 1691408905.9404
MEM 521.535156 1691408906.0447
MEM 542.753906 1691408906.1567
MEM 558.882812 1691408906.2612
MEM 584.332031 1691408906.3721
MEM 592.355469 1691408906.4761
MEM 615.714844 1691408906.5876
MEM 639.363281 1691408906.6902
MEM 655.984375 1691408906.7939
MEM 676.855469 1691408906.9062
MEM 699.070312 1691408907.0099
MEM 720.328125 1691408907.1214
MEM 727.351562 1691408907.2248
MEM 738.210938 1691408907.3314
MEM 763.636719 1691408907.4390
MEM 784.429688 1691408907.5430
MEM 800.070312 1691408907.6543
MEM 825.574219 1691408907.7577
MEM 848.937500 1691408907.8684
MEM 839.312500 1691408907.9771
MEM 763.796875 1691408908.0882
MEM 722.226562 1691408908.1920
MEM 670.351562 1691408908.3032
MEM 651.894531 1691408908.4065
MEM 624.292969 1691408908.5111
MEM 593.949219 1691408908.6216
MEM 557.558594 1691408908.7233
MEM 518.695312 1691408908.8268
MEM 487.507812 1691408908.9389
MEM 459.828125 1691408909.0413
MEM 423.800781 1691408909.1533
MEM 385.367188 1691408909.2565
MEM 348.839844 1691408909.3597
MEM 298.117188 1691408909.4708
MEM 255.187500 1691408909.5748
MEM 215.835938 1691408909.6868
MEM 215.957031 1691408909.7932
MEM 244.082031 1691408909.9043
MEM 258.671875 1691408910.0082
MEM 274.570312 1691408910.1120
MEM 302.933594 1691408910.2236
MEM 320.300781 1691408910.3357
MEM 339.265625 1691408910.4391
MEM 351.472656 1691408910.5420
MEM 369.535156 1691408910.6541
MEM 398.890625 1691408910.7579
MEM 414.320312 1691408910.8596
MEM 430.542969 1691408910.9711
MEM 452.812500 1691408911.0734
MEM 463.351562 1691408911.1853
MEM 486.519531 1691408911.2886
MEM 509.988281 1691408911.3929
MEM 526.511719 1691408911.5041
MEM 552.617188 1691408911.6068
MEM 574.246094 1691408911.7190
MEM 590.761719 1691408911.8224
MEM 607.136719 1691408911.9262
MEM 624.031250 1691408912.0382
MEM 641.359375 1691408912.1413
MEM 669.300781 1691408912.2536
MEM 687.996094 1691408912.3581
MEM 706.511719 1691408912.4702
MEM 721.402344 1691408912.5737
MEM 735.964844 1691408912.6774
MEM 766.101562 1691408912.7896
MEM 784.550781 1691408912.8922
MEM 800.050781 1691408913.0031
MEM 816.679688 1691408913.1068
MEM 844.718750 1691408913.2188
MEM 843.195312 1691408913.3251
MEM 768.042969 1691408913.4364
MEM 725.363281 1691408913.5401
MEM 672.605469 1691408913.6426
MEM 625.722656 1691408913.7547
MEM 582.613281 1691408913.8577
MEM 535.503906 1691408913.9734
MEM 487.968750 1691408914.0855
MEM 442.117188 1691408914.1893
MEM 395.253906 1691408914.2942
MEM 348.921875 1691408914.4058
MEM 306.601562 1691408914.5085
MEM 255.410156 1691408914.6199
MEM 215.375000 1691408914.7227
MEM 217.660156 1691408914.8354
MEM 242.718750 1691408914.9393
MEM 259.843750 1691408915.0418
MEM 276.066406 1691408915.1534
MEM 302.132812 1691408915.2560
MEM 321.605469 1691408915.3603
MEM 337.730469 1691408915.4714
MEM 352.925781 1691408915.5758
MEM 368.933594 1691408915.6879
MEM 396.085938 1691408915.7926
MEM 415.121094 1691408915.9043
MEM 431.433594 1691408916.0085
MEM 456.011719 1691408916.1202
MEM 464.042969 1691408916.2246
MEM 490.351562 1691408916.3363
MEM 510.453125 1691408916.4392
MEM 526.859375 1691408916.5503
MEM 548.527344 1691408916.6539
MEM 574.550781 1691408916.7578
MEM 590.949219 1691408916.8694
MEM 593.199219 1691408916.9777
MEM 613.523438 1691408917.0872
MEM 638.667969 1691408917.1909
MEM 655.050781 1691408917.3022
MEM 673.828125 1691408917.4059
MEM 701.261719 1691408917.5101
MEM 719.929688 1691408917.6215
MEM 730.804688 1691408917.7247
MEM 752.183594 1691408917.8367
MEM 767.246094 1691408917.9397
MEM 788.312500 1691408918.0513
MEM 815.468750 1691408918.1557
MEM 831.292969 1691408918.2672
MEM 847.972656 1691408918.3752
MEM 783.363281 1691408918.4770
MEM 737.582031 1691408918.5869
MEM 692.261719 1691408918.6922
MEM 644.781250 1691408918.8036
MEM 600.906250 1691408918.9073
