CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.695312 1691666461.3945
MEM 9.750000 1691666461.4992
MEM 18.234375 1691666461.6088
MEM 23.437500 1691666461.7194
MEM 27.222656 1691666461.8323
MEM 30.457031 1691666461.9440
MEM 33.781250 1691666462.0469
MEM 35.101562 1691666462.1568
MEM 35.316406 1691666462.2654
MEM 36.566406 1691666462.3757
MEM 39.433594 1691666462.4801
MEM 41.621094 1691666462.5905
MEM 59.453125 1691666462.7010
MEM 66.878906 1691666462.8096
MEM 77.242188 1691666462.9148
MEM 82.437500 1691666463.0217
MEM 94.031250 1691666463.1357
MEM 108.691406 1691666463.2433
MEM 112.648438 1691666463.3529
MEM 121.992188 1691666463.4613
MEM 127.445312 1691666463.5663
MEM 130.621094 1691666463.6774
MEM 132.445312 1691666463.7875
MEM 136.777344 1691666463.8909
MEM 139.476562 1691666464.0009
MEM 142.273438 1691666464.1107
MEM 146.710938 1691666464.2214
MEM 151.578125 1691666464.3321
MEM 157.902344 1691666464.4430
MEM 164.125000 1691666464.5537
MEM 167.468750 1691666464.6647
MEM 172.964844 1691666464.7750
MEM 181.707031 1691666464.8865
MEM 187.949219 1691666464.9989
MEM 188.824219 1691666465.1126
MEM 190.910156 1691666465.2251
MEM 191.160156 1691666465.3316
MEM 191.519531 1691666465.4369
MEM 191.929688 1691666465.5399
MEM 192.117188 1691666465.6506
MEM 195.484375 1691666465.7614
MEM 210.367188 1691666465.8705
MEM 210.367188 1691666465.9793
MEM 210.371094 1691666466.0910
MEM 210.371094 1691666466.2037
MEM 210.371094 1691666466.3146
MEM 210.371094 1691666466.4268
MEM 210.371094 1691666466.5298
MEM 210.371094 1691666466.6396
MEM 210.371094 1691666466.7498
MEM 210.371094 1691666466.8616
MEM 210.371094 1691666466.9736
MEM 210.371094 1691666467.0873
MEM 210.371094 1691666467.2025
MEM 210.371094 1691666467.3144
MEM 210.371094 1691666467.4232
MEM 210.371094 1691666467.5252
MEM 210.371094 1691666467.6322
