CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.667969 1691407063.1362
MEM 8.859375 1691407063.2430
MEM 12.378906 1691407063.3467
MEM 16.332031 1691407063.4596
MEM 20.460938 1691407063.5620
MEM 22.757812 1691407063.6722
MEM 23.535156 1691407063.7813
MEM 27.175781 1691407063.8935
MEM 29.644531 1691407064.0056
MEM 32.664062 1691407064.1091
MEM 35.312500 1691407064.2147
MEM 35.773438 1691407064.3245
MEM 37.710938 1691407064.4273
MEM 40.156250 1691407064.5390
MEM 41.339844 1691407064.6421
MEM 46.121094 1691407064.7460
MEM 57.902344 1691407064.8560
MEM 71.488281 1691407064.9577
MEM 80.988281 1691407065.0612
MEM 98.007812 1691407065.1730
MEM 109.328125 1691407065.2764
MEM 114.597656 1691407065.3874
MEM 121.847656 1691407065.4908
MEM 126.496094 1691407065.5938
MEM 128.863281 1691407065.7049
MEM 130.902344 1691407065.8082
MEM 132.394531 1691407065.9111
MEM 132.917969 1691407066.0178
MEM 133.984375 1691407066.1268
MEM 138.109375 1691407066.2378
MEM 138.941406 1691407066.3413
MEM 140.355469 1691407066.4434
MEM 141.441406 1691407066.5502
MEM 142.210938 1691407066.6591
MEM 144.398438 1691407066.7622
MEM 146.109375 1691407066.8730
MEM 147.171875 1691407066.9771
MEM 150.109375 1691407067.0836
MEM 153.292969 1691407067.1917
MEM 155.875000 1691407067.2956
MEM 159.320312 1691407067.4057
MEM 161.527344 1691407067.5080
MEM 163.589844 1691407067.6105
MEM 166.183594 1691407067.7217
MEM 167.062500 1691407067.8249
MEM 168.484375 1691407067.9273
MEM 171.574219 1691407068.0384
MEM 175.128906 1691407068.1419
MEM 182.000000 1691407068.2545
MEM 185.175781 1691407068.3577
MEM 188.683594 1691407068.4619
MEM 189.554688 1691407068.5754
MEM 191.675781 1691407068.6805
MEM 192.046875 1691407068.7931
MEM 192.332031 1691407068.9066
MEM 192.785156 1691407069.0106
MEM 240.207031 1691407069.1223
MEM 289.070312 1691407069.2264
MEM 324.437500 1691407069.3298
MEM 324.437500 1691407069.4381
MEM 324.441406 1691407069.5414
MEM 324.441406 1691407069.6542
MEM 324.441406 1691407069.7586
MEM 324.441406 1691407069.8710
MEM 324.441406 1691407069.9747
MEM 324.441406 1691407070.0794
MEM 324.441406 1691407070.1901
MEM 324.441406 1691407070.2942
MEM 324.441406 1691407070.4064
MEM 324.441406 1691407070.5110
MEM 324.441406 1691407070.6230
MEM 324.441406 1691407070.7266
MEM 324.441406 1691407070.8388
MEM 324.441406 1691407070.9433
MEM 324.441406 1691407071.0561
MEM 324.441406 1691407071.1607
MEM 324.441406 1691407071.2726
MEM 324.441406 1691407071.3769
MEM 324.441406 1691407071.4886
MEM 324.441406 1691407071.5935
MEM 324.441406 1691407071.7058
MEM 324.441406 1691407071.8100
MEM 324.441406 1691407071.9103
MEM 324.441406 1691407072.0178
MEM 324.441406 1691407072.1205
MEM 324.441406 1691407072.2246
MEM 324.441406 1691407072.3374
MEM 324.441406 1691407072.4414
MEM 324.441406 1691407072.5535
MEM 324.441406 1691407072.6570
MEM 324.441406 1691407072.7607
MEM 324.441406 1691407072.8725
MEM 324.441406 1691407072.9754
MEM 324.441406 1691407073.0868
MEM 324.441406 1691407073.1906
MEM 324.441406 1691407073.3034
MEM 324.441406 1691407073.4068
MEM 324.441406 1691407073.5089
MEM 324.441406 1691407073.6212
MEM 324.441406 1691407073.7248
MEM 324.441406 1691407073.8325
MEM 324.441406 1691407073.9379
MEM 324.441406 1691407074.0445
MEM 324.441406 1691407074.1574
MEM 324.441406 1691407074.2661
MEM 324.441406 1691407074.3700
MEM 324.441406 1691407074.4779
MEM 324.441406 1691407074.5903
MEM 324.441406 1691407074.6916
MEM 324.441406 1691407074.7982
MEM 324.441406 1691407074.9079
MEM 324.441406 1691407075.0139
MEM 324.441406 1691407075.1217
MEM 324.441406 1691407075.2231
MEM 324.441406 1691407075.3269
MEM 324.441406 1691407075.4386
MEM 324.441406 1691407075.5418
MEM 324.441406 1691407075.6556
MEM 324.441406 1691407075.7598
MEM 324.441406 1691407075.8711
MEM 324.441406 1691407075.9752
MEM 324.441406 1691407076.0861
MEM 324.441406 1691407076.1906
MEM 324.441406 1691407076.3051
MEM 324.441406 1691407076.4072
MEM 324.441406 1691407076.5107
MEM 324.441406 1691407076.6231
MEM 324.441406 1691407076.7275
MEM 324.441406 1691407076.8380
MEM 324.640625 1691407076.9438
MEM 361.644531 1691407077.0571
MEM 414.414062 1691407077.1673
MEM 453.804688 1691407077.2712
MEM 453.804688 1691407077.3767
MEM 453.804688 1691407077.4885
MEM 453.804688 1691407077.5922
MEM 453.804688 1691407077.7049
MEM 453.804688 1691407077.8090
MEM 453.804688 1691407077.9143
MEM 453.804688 1691407078.0154
MEM 453.804688 1691407078.1251
MEM 453.804688 1691407078.2294
MEM 453.804688 1691407078.3311
MEM 453.804688 1691407078.4470
MEM 453.804688 1691407078.5543
MEM 453.808594 1691407078.6599
MEM 453.808594 1691407078.7605
MEM 453.808594 1691407078.8732
MEM 453.808594 1691407078.9812
MEM 453.808594 1691407079.0872
MEM 453.808594 1691407079.1948
MEM 453.808594 1691407079.3097
MEM 453.808594 1691407079.4154
MEM 453.808594 1691407079.5258
MEM 453.808594 1691407079.6312
MEM 453.808594 1691407079.7350
MEM 453.808594 1691407079.8400
MEM 453.808594 1691407079.9436
MEM 453.808594 1691407080.0547
MEM 453.808594 1691407080.1559
MEM 453.808594 1691407080.2683
MEM 453.808594 1691407080.3692
MEM 453.808594 1691407080.4772
MEM 453.808594 1691407080.5945
MEM 453.808594 1691407080.7054
MEM 453.808594 1691407080.8107
MEM 453.808594 1691407080.9257
MEM 453.808594 1691407081.0379
MEM 453.808594 1691407081.1419
MEM 453.808594 1691407081.2542
MEM 453.808594 1691407081.3578
MEM 453.808594 1691407081.4586
MEM 453.808594 1691407081.5708
MEM 453.808594 1691407081.6744
MEM 453.808594 1691407081.7869
MEM 453.808594 1691407081.8899
MEM 453.808594 1691407082.0054
MEM 453.808594 1691407082.1099
MEM 453.808594 1691407082.2218
MEM 453.808594 1691407082.3346
MEM 453.808594 1691407082.4386
MEM 453.808594 1691407082.5460
MEM 453.808594 1691407082.6542
MEM 453.808594 1691407082.7573
MEM 453.808594 1691407082.8651
MEM 453.808594 1691407082.9714
MEM 453.808594 1691407083.0754
MEM 453.808594 1691407083.1865
MEM 453.808594 1691407083.2896
MEM 453.808594 1691407083.3945
MEM 453.808594 1691407083.5054
MEM 453.808594 1691407083.6139
MEM 453.808594 1691407083.7244
MEM 453.808594 1691407083.8369
MEM 453.808594 1691407083.9400
MEM 453.808594 1691407084.0432
MEM 453.808594 1691407084.1548
MEM 453.808594 1691407084.2576
MEM 453.808594 1691407084.3587
MEM 453.808594 1691407084.4702
MEM 453.808594 1691407084.5742
MEM 453.808594 1691407084.6881
MEM 453.808594 1691407084.7909
MEM 453.808594 1691407084.8928
MEM 453.808594 1691407085.0043
MEM 453.808594 1691407085.1121
MEM 453.808594 1691407085.2219
MEM 453.808594 1691407085.3257
MEM 453.808594 1691407085.4374
MEM 453.808594 1691407085.5404
MEM 453.808594 1691407085.6524
MEM 453.808594 1691407085.7579
MEM 453.808594 1691407085.8694
MEM 453.808594 1691407085.9731
MEM 453.808594 1691407086.0852
MEM 453.808594 1691407086.1886
MEM 453.808594 1691407086.2919
MEM 453.808594 1691407086.4076
MEM 453.808594 1691407086.5187
MEM 453.808594 1691407086.6223
MEM 453.808594 1691407086.7275
MEM 453.808594 1691407086.8379
MEM 453.808594 1691407086.9454
MEM 453.808594 1691407087.0507
MEM 453.808594 1691407087.1511
MEM 453.808594 1691407087.2570
MEM 453.808594 1691407087.3684
MEM 453.808594 1691407087.4719
MEM 453.808594 1691407087.5748
MEM 453.808594 1691407087.6852
MEM 453.808594 1691407087.7908
MEM 453.808594 1691407087.9014
MEM 453.808594 1691407088.0057
MEM 453.808594 1691407088.1100
MEM 453.808594 1691407088.2211
MEM 453.808594 1691407088.3238
MEM 453.808594 1691407088.4326
MEM 453.808594 1691407088.5411
MEM 453.808594 1691407088.6535
MEM 453.808594 1691407088.7567
MEM 453.808594 1691407088.8691
MEM 453.808594 1691407088.9738
MEM 453.808594 1691407089.0854
MEM 453.808594 1691407089.1887
MEM 453.808594 1691407089.2931
MEM 453.808594 1691407089.4081
MEM 453.808594 1691407089.5192
MEM 453.808594 1691407089.6239
MEM 453.808594 1691407089.7353
MEM 453.808594 1691407089.8391
MEM 453.808594 1691407089.9443
MEM 453.808594 1691407090.0556
MEM 453.808594 1691407090.1678
MEM 453.808594 1691407090.2725
MEM 453.808594 1691407090.3749
MEM 453.808594 1691407090.4790
MEM 453.808594 1691407090.5900
MEM 453.808594 1691407090.7008
MEM 453.808594 1691407090.8048
MEM 453.808594 1691407090.9079
MEM 453.808594 1691407091.0229
MEM 453.808594 1691407091.1348
MEM 453.808594 1691407091.2379
MEM 453.808594 1691407091.3410
MEM 453.808594 1691407091.4533
MEM 453.808594 1691407091.5619
MEM 453.808594 1691407091.6646
MEM 453.808594 1691407091.7877
MEM 453.808594 1691407091.8898
MEM 453.808594 1691407091.9968
MEM 453.808594 1691407092.1043
MEM 453.808594 1691407092.2078
MEM 453.808594 1691407092.3117
MEM 453.808594 1691407092.4204
MEM 453.808594 1691407092.5334
MEM 453.808594 1691407092.6389
MEM 453.808594 1691407092.7407
MEM 453.808594 1691407092.8522
MEM 453.808594 1691407092.9553
MEM 453.808594 1691407093.0688
MEM 453.808594 1691407093.1729
MEM 453.808594 1691407093.2762
MEM 453.808594 1691407093.3812
MEM 453.808594 1691407093.4861
MEM 453.898438 1691407093.5897
MEM 453.898438 1691407093.7022
MEM 453.898438 1691407093.8050
MEM 453.898438 1691407093.9112
MEM 453.898438 1691407094.0192
MEM 453.898438 1691407094.1233
MEM 453.898438 1691407094.2300
MEM 453.898438 1691407094.3385
MEM 453.898438 1691407094.4414
MEM 453.898438 1691407094.5528
MEM 453.898438 1691407094.6582
MEM 453.898438 1691407094.7698
MEM 453.898438 1691407094.8803
MEM 453.898438 1691407094.9856
MEM 453.898438 1691407095.0892
MEM 453.898438 1691407095.1935
MEM 453.898438 1691407095.3074
MEM 453.898438 1691407095.4194
MEM 453.898438 1691407095.5240
MEM 453.898438 1691407095.6364
MEM 453.898438 1691407095.7411
MEM 453.898438 1691407095.8562
MEM 453.898438 1691407095.9683
MEM 453.898438 1691407096.0724
MEM 453.898438 1691407096.1849
MEM 453.898438 1691407096.2875
MEM 453.898438 1691407096.4000
MEM 453.898438 1691407096.5207
MEM 453.898438 1691407096.6334
MEM 453.898438 1691407096.7371
MEM 453.898438 1691407096.8373
MEM 453.898438 1691407096.9421
MEM 453.898438 1691407097.0537
MEM 453.898438 1691407097.1586
MEM 453.898438 1691407097.2695
MEM 453.898438 1691407097.3711
MEM 453.898438 1691407097.4835
MEM 453.898438 1691407097.5928
MEM 453.898438 1691407097.7063
MEM 453.898438 1691407097.8180
MEM 453.898438 1691407097.9214
MEM 453.898438 1691407098.0358
MEM 453.898438 1691407098.1399
MEM 453.898438 1691407098.2516
MEM 453.898438 1691407098.3666
MEM 453.898438 1691407098.4712
MEM 453.898438 1691407098.5830
MEM 453.898438 1691407098.6875
MEM 453.898438 1691407098.8003
MEM 453.898438 1691407098.9088
MEM 453.898438 1691407099.0194
MEM 453.898438 1691407099.1230
MEM 453.898438 1691407099.2277
MEM 453.898438 1691407099.3338
MEM 453.898438 1691407099.4388
MEM 453.898438 1691407099.5542
MEM 453.898438 1691407099.6637
MEM 453.898438 1691407099.7735
MEM 453.898438 1691407099.8834
MEM 453.898438 1691407099.9895
MEM 453.898438 1691407100.0924
MEM 453.898438 1691407100.2060
MEM 453.898438 1691407100.3157
MEM 453.898438 1691407100.4207
MEM 453.898438 1691407100.5228
MEM 453.898438 1691407100.6335
MEM 453.898438 1691407100.7417
MEM 453.898438 1691407100.8519
MEM 453.898438 1691407100.9573
MEM 453.898438 1691407101.0659
MEM 453.898438 1691407101.1729
MEM 453.898438 1691407101.2880
MEM 453.898438 1691407101.3900
MEM 453.898438 1691407101.5028
MEM 453.898438 1691407101.6150
MEM 453.898438 1691407101.7196
MEM 453.898438 1691407101.8203
MEM 453.898438 1691407101.9216
MEM 453.898438 1691407102.0272
MEM 453.898438 1691407102.1580
MEM 453.898438 1691407102.2630
MEM 453.898438 1691407102.3770
MEM 453.898438 1691407102.4900
MEM 453.898438 1691407102.6012
MEM 453.898438 1691407102.7014
MEM 453.898438 1691407102.8057
MEM 453.898438 1691407102.9198
MEM 453.898438 1691407103.0243
MEM 453.898438 1691407103.1268
MEM 453.898438 1691407103.2376
MEM 453.898438 1691407103.3402
MEM 453.898438 1691407103.4481
MEM 453.898438 1691407103.5547
MEM 453.898438 1691407103.6618
MEM 453.898438 1691407103.7662
MEM 453.898438 1691407103.8682
MEM 453.898438 1691407103.9759
MEM 453.898438 1691407104.0860
MEM 453.898438 1691407104.1986
MEM 453.898438 1691407104.3017
MEM 453.898438 1691407104.4053
MEM 453.898438 1691407104.5105
MEM 453.898438 1691407104.6257
MEM 453.898438 1691407104.7312
MEM 453.898438 1691407104.8371
MEM 453.898438 1691407104.9416
MEM 453.898438 1691407105.0561
MEM 453.898438 1691407105.1696
MEM 453.898438 1691407105.2743
MEM 453.898438 1691407105.3855
MEM 453.898438 1691407105.4900
MEM 453.898438 1691407105.6034
MEM 453.898438 1691407105.7055
MEM 453.898438 1691407105.8181
MEM 453.898438 1691407105.9322
MEM 453.898438 1691407106.0357
MEM 453.898438 1691407106.1404
MEM 453.898438 1691407106.2516
MEM 453.898438 1691407106.3553
MEM 453.898438 1691407106.4680
MEM 453.898438 1691407106.5715
MEM 453.898438 1691407106.6839
MEM 453.898438 1691407106.7865
MEM 453.898438 1691407106.8886
MEM 453.898438 1691407107.0010
MEM 453.898438 1691407107.1150
MEM 453.898438 1691407107.2182
MEM 453.898438 1691407107.3217
MEM 453.898438 1691407107.4362
MEM 453.898438 1691407107.5487
MEM 453.898438 1691407107.6524
MEM 453.898438 1691407107.7639
MEM 453.898438 1691407107.8689
MEM 453.898438 1691407107.9691
MEM 453.898438 1691407108.0773
MEM 453.898438 1691407108.1845
MEM 453.898438 1691407108.2862
MEM 453.898438 1691407108.3968
MEM 453.898438 1691407108.5107
MEM 453.898438 1691407108.6199
MEM 453.898438 1691407108.7266
MEM 453.898438 1691407108.8343
MEM 453.898438 1691407108.9406
MEM 453.898438 1691407109.0421
MEM 453.898438 1691407109.1518
MEM 453.898438 1691407109.2600
MEM 453.898438 1691407109.3615
MEM 453.898438 1691407109.4690
MEM 453.898438 1691407109.5832
MEM 453.898438 1691407109.6986
MEM 453.898438 1691407109.8059
MEM 453.898438 1691407109.9194
MEM 453.898438 1691407110.0332
MEM 453.898438 1691407110.1378
MEM 453.898438 1691407110.2387
MEM 453.898438 1691407110.3459
MEM 453.898438 1691407110.4546
MEM 453.898438 1691407110.5588
MEM 453.898438 1691407110.6643
