CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.667969 1691405916.3145
MEM 7.824219 1691405916.4223
MEM 12.800781 1691405916.5256
MEM 18.480469 1691405916.6286
MEM 22.914062 1691405916.7407
MEM 26.046875 1691405916.8432
MEM 29.261719 1691405916.9518
MEM 31.437500 1691405917.0619
MEM 34.867188 1691405917.1730
MEM 35.414062 1691405917.2751
MEM 37.109375 1691405917.3788
MEM 39.347656 1691405917.4856
MEM 40.886719 1691405917.5893
MEM 42.808594 1691405917.6924
MEM 52.140625 1691405917.8045
MEM 67.023438 1691405917.9083
MEM 79.785156 1691405918.0112
MEM 92.441406 1691405918.1238
MEM 108.210938 1691405918.2270
MEM 111.132812 1691405918.3388
MEM 116.992188 1691405918.4437
MEM 122.398438 1691405918.5556
MEM 127.390625 1691405918.6590
MEM 129.273438 1691405918.7633
MEM 131.839844 1691405918.8719
MEM 132.855469 1691405918.9738
MEM 133.468750 1691405919.0775
MEM 136.429688 1691405919.1882
MEM 138.234375 1691405919.2907
MEM 139.054688 1691405919.3934
MEM 140.550781 1691405919.5072
MEM 141.480469 1691405919.6204
MEM 142.347656 1691405919.7204
MEM 144.984375 1691405919.8240
MEM 146.984375 1691405919.9333
MEM 148.136719 1691405920.0406
MEM 150.699219 1691405920.1446
MEM 154.117188 1691405920.2552
MEM 156.386719 1691405920.3591
MEM 159.292969 1691405920.4620
MEM 162.285156 1691405920.5731
MEM 164.238281 1691405920.6782
MEM 166.542969 1691405920.7891
MEM 166.976562 1691405920.8917
MEM 168.769531 1691405920.9943
MEM 171.761719 1691405921.1040
MEM 174.375000 1691405921.2081
MEM 181.007812 1691405921.3123
MEM 184.875000 1691405921.4226
MEM 189.601562 1691405921.5251
MEM 191.425781 1691405921.6332
MEM 191.542969 1691405921.7387
MEM 191.718750 1691405921.8424
MEM 192.015625 1691405921.9548
MEM 192.382812 1691405922.0585
MEM 219.863281 1691405922.1627
MEM 278.367188 1691405922.2750
MEM 325.753906 1691405922.3775
MEM 353.582031 1691405922.4819
MEM 377.812500 1691405922.5898
MEM 422.796875 1691405922.6941
MEM 459.019531 1691405922.8022
MEM 500.667969 1691405922.9144
MEM 556.457031 1691405923.0277
MEM 610.222656 1691405923.1415
MEM 661.835938 1691405923.2441
MEM 712.828125 1691405923.3562
MEM 758.218750 1691405923.4589
MEM 809.820312 1691405923.5709
MEM 840.515625 1691405923.6749
MEM 783.839844 1691405923.7892
MEM 753.171875 1691405923.8923
MEM 710.636719 1691405923.9963
MEM 677.097656 1691405924.1055
MEM 636.156250 1691405924.2079
MEM 594.988281 1691405924.3125
MEM 558.269531 1691405924.4235
MEM 523.753906 1691405924.5263
MEM 484.417969 1691405924.6344
MEM 463.312500 1691405924.7426
MEM 436.625000 1691405924.8432
MEM 405.378906 1691405924.9522
MEM 369.179688 1691405925.0569
MEM 324.085938 1691405925.1723
MEM 285.101562 1691405925.2749
MEM 239.417969 1691405925.3867
MEM 210.433594 1691405925.4903
MEM 232.812500 1691405925.5957
MEM 273.878906 1691405925.6996
MEM 305.656250 1691405925.8051
MEM 341.410156 1691405925.9115
MEM 376.304688 1691405926.0164
MEM 421.886719 1691405926.1212
MEM 463.437500 1691405926.2271
MEM 515.898438 1691405926.3381
MEM 559.464844 1691405926.4403
MEM 600.031250 1691405926.5442
MEM 638.304688 1691405926.6502
MEM 684.144531 1691405926.7580
MEM 730.937500 1691405926.8704
MEM 770.007812 1691405926.9735
MEM 813.351562 1691405927.0767
MEM 847.898438 1691405927.1816
MEM 835.097656 1691405927.2939
MEM 750.933594 1691405927.4044
MEM 715.726562 1691405927.5108
MEM 663.917969 1691405927.6239
MEM 621.128906 1691405927.7272
MEM 571.128906 1691405927.8392
MEM 534.007812 1691405927.9449
MEM 492.628906 1691405928.0526
MEM 447.628906 1691405928.1631
MEM 405.062500 1691405928.2776
MEM 363.214844 1691405928.3843
MEM 323.121094 1691405928.4892
MEM 278.164062 1691405928.5940
MEM 233.453125 1691405928.7067
MEM 235.410156 1691405928.8146
MEM 282.441406 1691405928.9233
MEM 329.222656 1691405929.0314
MEM 371.710938 1691405929.1357
MEM 420.093750 1691405929.2432
MEM 473.386719 1691405929.3577
MEM 522.539062 1691405929.4686
MEM 572.769531 1691405929.5740
MEM 620.867188 1691405929.6862
MEM 670.921875 1691405929.7893
MEM 718.890625 1691405929.8921
MEM 766.777344 1691405930.0042
MEM 815.414062 1691405930.1077
MEM 847.777344 1691405930.2146
MEM 817.644531 1691405930.3269
MEM 751.011719 1691405930.4425
MEM 708.421875 1691405930.5550
MEM 664.796875 1691405930.6598
MEM 623.378906 1691405930.7608
MEM 585.511719 1691405930.8622
MEM 540.828125 1691405930.9671
MEM 493.117188 1691405931.0745
MEM 447.378906 1691405931.1887
MEM 400.226562 1691405931.3032
MEM 353.316406 1691405931.4089
MEM 322.683594 1691405931.5117
MEM 273.613281 1691405931.6223
MEM 223.105469 1691405931.7248
MEM 239.656250 1691405931.8263
MEM 285.683594 1691405931.9266
MEM 338.785156 1691405932.0382
MEM 384.878906 1691405932.1415
MEM 434.953125 1691405932.2522
MEM 479.574219 1691405932.3556
MEM 522.062500 1691405932.4562
MEM 567.992188 1691405932.5597
MEM 618.003906 1691405932.6702
MEM 668.625000 1691405932.7738
MEM 694.238281 1691405932.8741
MEM 741.914062 1691405932.9856
MEM 789.980469 1691405933.0892
MEM 838.125000 1691405933.1923
MEM 848.382812 1691405933.2962
MEM 781.867188 1691405933.4087
MEM 742.472656 1691405933.5198
MEM 699.519531 1691405933.6234
MEM 655.226562 1691405933.7355
MEM 606.773438 1691405933.8386
MEM 565.417969 1691405933.9432
MEM 516.585938 1691405934.0545
MEM 490.964844 1691405934.1577
MEM 443.066406 1691405934.2699
MEM 394.414062 1691405934.3735
