CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.683594 1691407028.4277
MEM 8.914062 1691407028.5404
MEM 10.152344 1691407028.6545
MEM 15.398438 1691407028.7690
MEM 19.429688 1691407028.8831
MEM 22.597656 1691407028.9885
MEM 25.253906 1691407029.0955
MEM 28.308594 1691407029.2098
MEM 30.500000 1691407029.3133
MEM 33.656250 1691407029.4143
MEM 35.199219 1691407029.5259
MEM 37.195312 1691407029.6298
MEM 40.218750 1691407029.7312
MEM 41.574219 1691407029.8368
MEM 54.820312 1691407029.9504
MEM 70.867188 1691407030.0581
MEM 80.945312 1691407030.1633
MEM 91.765625 1691407030.2674
MEM 107.160156 1691407030.3743
MEM 110.984375 1691407030.4808
MEM 119.468750 1691407030.5848
MEM 125.113281 1691407030.6889
MEM 126.914062 1691407030.8035
MEM 128.367188 1691407030.9181
MEM 130.394531 1691407031.0217
MEM 131.929688 1691407031.1249
MEM 133.101562 1691407031.2298
MEM 136.007812 1691407031.3327
MEM 138.003906 1691407031.4439
MEM 139.484375 1691407031.5519
MEM 141.246094 1691407031.6551
MEM 142.050781 1691407031.7661
MEM 144.636719 1691407031.8685
MEM 146.898438 1691407031.9820
MEM 150.320312 1691407032.0881
MEM 153.800781 1691407032.1936
MEM 157.328125 1691407032.2966
MEM 161.765625 1691407032.3996
MEM 164.984375 1691407032.5108
MEM 166.585938 1691407032.6140
MEM 168.011719 1691407032.7251
MEM 171.601562 1691407032.8292
MEM 176.574219 1691407032.9327
MEM 182.523438 1691407033.0439
MEM 185.675781 1691407033.1474
MEM 189.285156 1691407033.2496
MEM 190.992188 1691407033.3550
MEM 194.257812 1691407033.4617
MEM 194.433594 1691407033.5661
MEM 194.789062 1691407033.6780
MEM 195.031250 1691407033.7817
MEM 210.925781 1691407033.8868
MEM 229.265625 1691407033.9878
MEM 255.539062 1691407034.0990
MEM 274.312500 1691407034.2049
MEM 294.742188 1691407034.3095
MEM 318.093750 1691407034.4179
MEM 323.234375 1691407034.5218
MEM 323.234375 1691407034.6269
MEM 323.234375 1691407034.7309
