CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.574219 1691408032.8328
MEM 8.519531 1691408032.9407
MEM 10.324219 1691408033.0412
MEM 14.828125 1691408033.1496
MEM 17.320312 1691408033.2526
MEM 22.140625 1691408033.3638
MEM 25.386719 1691408033.4664
MEM 28.921875 1691408033.5705
MEM 31.214844 1691408033.6820
MEM 34.785156 1691408033.7840
MEM 35.351562 1691408033.8857
MEM 39.027344 1691408033.9921
MEM 41.132812 1691408034.0987
MEM 50.707031 1691408034.2019
MEM 67.117188 1691408034.3132
MEM 78.929688 1691408034.4164
MEM 87.765625 1691408034.5208
MEM 108.109375 1691408034.6336
MEM 112.617188 1691408034.7354
MEM 123.964844 1691408034.8470
MEM 128.453125 1691408034.9498
MEM 131.089844 1691408035.0603
MEM 132.945312 1691408035.1790
MEM 136.101562 1691408035.2814
MEM 138.035156 1691408035.3843
MEM 140.460938 1691408035.4959
MEM 142.003906 1691408035.5985
MEM 143.664062 1691408035.7041
MEM 147.058594 1691408035.8157
MEM 149.929688 1691408035.9186
MEM 153.167969 1691408036.0300
MEM 155.644531 1691408036.1435
MEM 157.683594 1691408036.2521
MEM 161.136719 1691408036.3637
MEM 162.890625 1691408036.4678
MEM 165.304688 1691408036.5793
MEM 166.687500 1691408036.6832
MEM 167.953125 1691408036.7860
MEM 171.011719 1691408036.8973
MEM 172.738281 1691408037.0011
MEM 176.742188 1691408037.1128
MEM 180.851562 1691408037.2173
MEM 183.714844 1691408037.3212
MEM 189.437500 1691408037.4315
MEM 191.250000 1691408037.5334
MEM 191.531250 1691408037.6487
MEM 191.781250 1691408037.7534
MEM 192.289062 1691408037.8648
MEM 195.917969 1691408037.9698
MEM 210.988281 1691408038.0809
MEM 227.542969 1691408038.1943
MEM 227.542969 1691408038.3015
MEM 227.546875 1691408038.4174
MEM 227.546875 1691408038.5333
MEM 227.546875 1691408038.6367
MEM 227.546875 1691408038.7484
MEM 227.546875 1691408038.8503
MEM 227.546875 1691408038.9563
MEM 227.546875 1691408039.0574
MEM 227.546875 1691408039.1659
MEM 227.546875 1691408039.2674
MEM 227.546875 1691408039.3823
MEM 227.546875 1691408039.4892
MEM 227.546875 1691408039.5988
MEM 227.546875 1691408039.7038
MEM 227.546875 1691408039.8093
MEM 227.546875 1691408039.9181
MEM 227.546875 1691408040.0245
MEM 227.558594 1691408040.1278
MEM 243.218750 1691408040.2298
MEM 259.750000 1691408040.3336
MEM 259.750000 1691408040.4478
MEM 259.750000 1691408040.5510
MEM 259.750000 1691408040.6631
MEM 259.750000 1691408040.7666
MEM 259.750000 1691408040.8778
MEM 259.750000 1691408040.9829
MEM 259.750000 1691408041.0869
MEM 259.750000 1691408041.1978
MEM 259.750000 1691408041.3011
MEM 259.750000 1691408041.4142
MEM 259.750000 1691408041.5173
MEM 259.750000 1691408041.6300
MEM 259.750000 1691408041.7338
MEM 259.750000 1691408041.8459
MEM 259.750000 1691408041.9591
MEM 259.750000 1691408042.0674
MEM 259.750000 1691408042.1807
MEM 259.750000 1691408042.2846
MEM 259.750000 1691408042.3887
MEM 274.882812 1691408042.5039
MEM 291.546875 1691408042.6069
MEM 291.546875 1691408042.7203
MEM 291.546875 1691408042.8312
MEM 291.546875 1691408042.9362
MEM 291.546875 1691408043.0365
MEM 291.546875 1691408043.1492
MEM 291.546875 1691408043.2625
MEM 291.546875 1691408043.3656
MEM 291.546875 1691408043.4707
MEM 291.546875 1691408043.5775
MEM 291.546875 1691408043.6830
MEM 291.546875 1691408043.7833
MEM 291.546875 1691408043.8900
MEM 291.546875 1691408043.9915
MEM 291.546875 1691408044.0971
MEM 291.546875 1691408044.2034
MEM 291.546875 1691408044.3178
MEM 291.546875 1691408044.4295
MEM 291.546875 1691408044.5336
MEM 291.546875 1691408044.6477
MEM 291.546875 1691408044.7517
MEM 291.546875 1691408044.8674
MEM 291.546875 1691408044.9800
MEM 291.546875 1691408045.0838
MEM 291.546875 1691408045.1974
MEM 291.546875 1691408045.3053
MEM 291.546875 1691408045.4105
MEM 291.546875 1691408045.5164
MEM 291.546875 1691408045.6217
MEM 291.546875 1691408045.7321
MEM 291.546875 1691408045.8376
MEM 291.546875 1691408045.9429
MEM 291.546875 1691408046.0558
MEM 291.546875 1691408046.1559
MEM 291.546875 1691408046.2693
MEM 291.546875 1691408046.3765
MEM 291.546875 1691408046.4842
MEM 291.546875 1691408046.5974
MEM 291.546875 1691408046.7015
MEM 291.546875 1691408046.8137
MEM 291.546875 1691408046.9204
MEM 291.546875 1691408047.0318
MEM 291.546875 1691408047.1367
MEM 291.546875 1691408047.2448
MEM 291.546875 1691408047.3486
MEM 291.546875 1691408047.4534
MEM 291.554688 1691408047.5641
MEM 291.554688 1691408047.6679
MEM 291.554688 1691408047.7787
MEM 291.554688 1691408047.8824
MEM 291.554688 1691408047.9948
MEM 291.554688 1691408048.0981
MEM 291.554688 1691408048.2022
MEM 291.554688 1691408048.3176
MEM 291.554688 1691408048.4294
MEM 291.554688 1691408048.5333
MEM 291.554688 1691408048.6452
MEM 291.554688 1691408048.7490
MEM 291.554688 1691408048.8523
MEM 291.554688 1691408048.9637
MEM 291.554688 1691408049.0675
MEM 291.554688 1691408049.1797
MEM 291.554688 1691408049.2835
MEM 291.554688 1691408049.3999
MEM 291.554688 1691408049.5124
MEM 291.554688 1691408049.6165
MEM 291.554688 1691408049.7202
MEM 291.554688 1691408049.8315
MEM 291.554688 1691408049.9375
MEM 320.449219 1691408050.0494
MEM 323.710938 1691408050.1553
MEM 323.710938 1691408050.2668
MEM 323.710938 1691408050.3675
