CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe memtest.py
MEM 283.175781 1691926361.2333
MEM 275.171875 1691926361.3439
MEM 243.156250 1691926361.4537
MEM 251.160156 1691926361.5641
MEM 234.746094 1691926361.6724
MEM 275.171875 1691926361.7822
MEM 267.167969 1691926361.8934
MEM 275.171875 1691926362.0035
MEM 275.171875 1691926362.1142
MEM 269.917969 1691926362.2250
MEM 275.171875 1691926362.3325
MEM 264.414062 1691926362.4440
MEM 275.171875 1691926362.5550
MEM 267.167969 1691926362.6658
MEM 275.171875 1691926362.7769
MEM 275.171875 1691926362.8807
MEM 278.050781 1691926362.9916
MEM 275.171875 1691926363.1022
MEM 229.226562 1691926363.2137
MEM 275.171875 1691926363.3193
MEM 267.167969 1691926363.4271
MEM 275.171875 1691926363.5375
MEM 275.171875 1691926363.6483
MEM 259.167969 1691926363.7584
MEM 275.171875 1691926363.8685
MEM 267.167969 1691926363.9799
MEM 275.171875 1691926364.0901
MEM 267.167969 1691926364.2004
MEM 239.531250 1691926364.3047
MEM 275.171875 1691926364.4179
MEM 275.171875 1691926364.5301
MEM 283.175781 1691926364.6411
MEM 275.171875 1691926364.7513
MEM 283.175781 1691926364.8619
MEM 283.175781 1691926364.9664
MEM 271.171875 1691926365.0774
MEM 283.175781 1691926365.1874
MEM 236.917969 1691926365.2981
MEM 283.175781 1691926365.4088
MEM 275.171875 1691926365.5154
MEM 283.175781 1691926365.6257
MEM 275.171875 1691926365.7361
MEM 291.304688 1691926365.8462
MEM 283.175781 1691926365.9574
MEM 254.964844 1691926366.0576
MEM 283.175781 1691926366.1689
MEM 275.171875 1691926366.2788
MEM 283.175781 1691926366.3897
MEM 283.175781 1691926366.5021
MEM 262.332031 1691926366.6127
MEM 283.175781 1691926366.7239
MEM 275.171875 1691926366.8347
MEM 251.160156 1691926366.9456
MEM 251.160156 1691926367.0511
MEM 270.980469 1691926367.1625
MEM 275.171875 1691926367.2731
MEM 231.152344 1691926367.3837
MEM 275.171875 1691926367.4953
MEM 267.167969 1691926367.5991
MEM 275.171875 1691926367.7107
MEM 263.535156 1691926367.8217
MEM 265.066406 1691926367.9317
MEM 275.171875 1691926368.0424
MEM 227.148438 1691926368.1573
MEM 275.171875 1691926368.2678
MEM 267.167969 1691926368.3802
MEM 275.171875 1691926368.4916
MEM 260.648438 1691926368.6025
MEM 268.355469 1691926368.7144
MEM 275.171875 1691926368.8249
MEM 235.152344 1691926368.9351
MEM 272.980469 1691926369.0461
MEM 267.167969 1691926369.1513
