CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.660156 1691407829.3508
MEM 10.191406 1691407829.4633
MEM 16.050781 1691407829.5671
MEM 20.476562 1691407829.6731
MEM 23.070312 1691407829.7829
MEM 23.968750 1691407829.8830
MEM 25.769531 1691407830.0097
MEM 27.476562 1691407830.1154
MEM 29.207031 1691407830.2247
MEM 29.535156 1691407830.3368
MEM 31.230469 1691407830.4449
MEM 34.742188 1691407830.5465
MEM 35.363281 1691407830.6572
MEM 37.097656 1691407830.7654
MEM 39.695312 1691407830.8796
MEM 41.402344 1691407830.9870
MEM 47.031250 1691407831.0885
MEM 61.906250 1691407831.2016
MEM 72.097656 1691407831.3163
MEM 81.796875 1691407831.4301
MEM 93.476562 1691407831.5341
MEM 109.207031 1691407831.6458
MEM 117.449219 1691407831.7494
MEM 122.261719 1691407831.8605
MEM 127.265625 1691407831.9651
MEM 128.507812 1691407832.0737
MEM 130.699219 1691407832.1887
MEM 132.050781 1691407832.2900
MEM 133.031250 1691407832.3903
MEM 136.523438 1691407832.4929
MEM 138.425781 1691407832.5996
MEM 140.843750 1691407832.7127
MEM 142.210938 1691407832.8161
MEM 145.218750 1691407832.9273
MEM 147.292969 1691407833.0334
MEM 151.316406 1691407833.1432
MEM 155.070312 1691407833.2461
MEM 157.007812 1691407833.3494
MEM 161.902344 1691407833.4609
MEM 165.160156 1691407833.5639
MEM 166.710938 1691407833.6683
MEM 170.714844 1691407833.7785
MEM 174.714844 1691407833.8818
MEM 181.574219 1691407833.9922
MEM 185.683594 1691407834.1022
MEM 189.503906 1691407834.2108
MEM 191.457031 1691407834.3184
MEM 191.835938 1691407834.4302
MEM 192.101562 1691407834.5422
MEM 192.589844 1691407834.6466
MEM 192.730469 1691407834.7467
MEM 192.957031 1691407834.8502
MEM 165.476562 1691407834.9682
