CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe memtest.py
MEM 1.671875 1691927601.3203
MEM 8.406250 1691927601.4213
MEM 11.140625 1691927601.5304
MEM 15.730469 1691927601.6409
MEM 19.339844 1691927601.7522
MEM 22.039062 1691927601.8621
MEM 24.117188 1691927601.9720
MEM 27.457031 1691927602.0839
MEM 29.417969 1691927602.1946
MEM 30.605469 1691927602.3053
MEM 33.105469 1691927602.4162
MEM 35.226562 1691927602.5282
MEM 35.738281 1691927602.6324
MEM 37.597656 1691927602.7431
MEM 39.781250 1691927602.8523
MEM 41.390625 1691927602.9631
MEM 45.308594 1691927603.0728
MEM 60.023438 1691927603.1841
MEM 78.140625 1691927603.2963
MEM 87.062500 1691927603.4080
MEM 105.226562 1691927603.5190
MEM 109.035156 1691927603.6270
MEM 112.003906 1691927603.7331
MEM 119.539062 1691927603.8435
MEM 125.597656 1691927603.9531
MEM 127.597656 1691927604.0649
MEM 129.824219 1691927604.1682
MEM 131.500000 1691927604.2757
MEM 132.578125 1691927604.3809
MEM 133.101562 1691927604.4932
MEM 137.214844 1691927604.5968
MEM 138.457031 1691927604.7006
MEM 139.320312 1691927604.8111
MEM 140.945312 1691927604.9214
MEM 141.917969 1691927605.0325
MEM 144.128906 1691927605.1427
MEM 145.351562 1691927605.2462
MEM 146.820312 1691927605.3571
MEM 149.828125 1691927605.4679
MEM 152.875000 1691927605.5777
MEM 155.125000 1691927605.6812
MEM 157.195312 1691927605.7868
MEM 160.667969 1691927605.8975
MEM 162.867188 1691927606.0084
MEM 165.273438 1691927606.1192
MEM 166.429688 1691927606.2298
MEM 167.406250 1691927606.3350
MEM 170.550781 1691927606.4448
MEM 172.835938 1691927606.5552
MEM 179.921875 1691927606.6656
MEM 183.992188 1691927606.7760
MEM 208.898438 1691927606.8845
MEM 210.390625 1691927606.9974
MEM 211.378906 1691927607.1084
MEM 205.113281 1691927607.2188
MEM 203.218750 1691927607.3296
MEM 234.039062 1691927607.4336
MEM 274.054688 1691927607.5448
MEM 274.054688 1691927607.6556
MEM 218.203125 1691927607.7668
MEM 275.136719 1691927607.8714
MEM 275.136719 1691927607.9818
MEM 267.210938 1691927608.0921
MEM 275.136719 1691927608.2023
MEM 266.964844 1691927608.3129
MEM 275.136719 1691927608.4206
MEM 267.132812 1691927608.5311
MEM 275.136719 1691927608.6416
MEM 262.363281 1691927608.7522
MEM 266.007812 1691927608.8631
MEM 275.136719 1691927608.9693
MEM 227.113281 1691927609.0798
MEM 275.136719 1691927609.1900
MEM 267.132812 1691927609.3010
MEM 275.136719 1691927609.4119
MEM 267.132812 1691927609.5270
MEM 276.777344 1691927609.6392
MEM 275.136719 1691927609.7483
MEM 250.843750 1691927609.8590
MEM 275.136719 1691927609.9713
MEM 267.132812 1691927610.0821
MEM 275.136719 1691927610.1925
MEM 267.132812 1691927610.3028
MEM 227.113281 1691927610.4087
MEM 283.140625 1691927610.5186
MEM 275.136719 1691927610.6298
MEM 292.769531 1691927610.7405
MEM 283.140625 1691927610.8514
MEM 252.542969 1691927610.9639
MEM 283.140625 1691927611.0679
MEM 275.136719 1691927611.1787
MEM 283.140625 1691927611.2886
MEM 275.136719 1691927611.3995
MEM 283.140625 1691927611.5108
MEM 283.140625 1691927611.6189
MEM 271.246094 1691927611.7297
MEM 283.140625 1691927611.8411
MEM 275.136719 1691927611.9520
MEM 283.140625 1691927612.0625
MEM 275.136719 1691927612.1681
MEM 275.585938 1691927612.2787
MEM 283.140625 1691927612.3890
MEM 262.582031 1691927612.5001
MEM 283.140625 1691927612.6110
MEM 275.136719 1691927612.7172
MEM 283.140625 1691927612.8275
MEM 275.136719 1691927612.9385
MEM 251.125000 1691927613.0494
MEM 251.125000 1691927613.1547
MEM 245.121094 1691927613.2652
MEM 275.136719 1691927613.3761
MEM 267.132812 1691927613.4867
MEM 275.136719 1691927613.5972
MEM 267.132812 1691927613.7040
MEM 275.136719 1691927613.8125
MEM 275.136719 1691927613.9225
MEM 249.542969 1691927614.0323
MEM 275.136719 1691927614.1433
MEM 267.132812 1691927614.2529
MEM 275.136719 1691927614.3634
MEM 267.132812 1691927614.4739
MEM 275.136719 1691927614.5849
MEM 275.136719 1691927614.6968
MEM 255.558594 1691927614.8014
MEM 275.136719 1691927614.9124
MEM 251.265625 1691927615.0227
MEM 275.136719 1691927615.1332
MEM 267.132812 1691927615.2429
MEM 275.136719 1691927615.3512
MEM 267.132812 1691927615.4617
MEM 275.042969 1691927615.5723
MEM 275.136719 1691927615.6826
MEM 227.113281 1691927615.7929
MEM 283.140625 1691927615.8990
MEM 283.140625 1691927616.0092
MEM 266.714844 1691927616.1197
MEM 283.140625 1691927616.2301
MEM 235.312500 1691927616.3415
MEM 283.140625 1691927616.4445
MEM 275.136719 1691927616.5549
MEM 283.140625 1691927616.6655
MEM 283.140625 1691927616.7752
MEM 279.390625 1691927616.8859
MEM 283.140625 1691927616.9965
MEM 271.093750 1691927617.1066
MEM 283.140625 1691927617.2167
MEM 275.136719 1691927617.3278
MEM 283.140625 1691927617.4281
MEM 283.140625 1691927617.5380
MEM 277.136719 1691927617.6497
MEM 283.140625 1691927617.7604
MEM 259.132812 1691927617.8716
MEM 283.140625 1691927617.9844
MEM 275.136719 1691927618.0947
MEM 283.140625 1691927618.2060
MEM 275.136719 1691927618.3166
MEM 243.121094 1691927618.4273
MEM 251.125000 1691927618.5318
MEM 219.109375 1691927618.6361
MEM 275.136719 1691927618.7491
MEM 267.132812 1691927618.8591
MEM 275.136719 1691927618.9701
MEM 267.132812 1691927619.0822
MEM 272.824219 1691927619.1936
MEM 275.136719 1691927619.3052
MEM 236.015625 1691927619.4163
MEM 275.136719 1691927619.5200
MEM 267.132812 1691927619.6312
MEM 275.136719 1691927619.7428
MEM 267.132812 1691927619.8538
MEM 286.406250 1691927619.9650
MEM 275.136719 1691927620.0699
MEM 234.851562 1691927620.1816
MEM 275.136719 1691927620.2918
MEM 267.132812 1691927620.4028
MEM 275.136719 1691927620.5135
MEM 275.136719 1691927620.6185
MEM 266.523438 1691927620.7296
MEM 275.136719 1691927620.8406
MEM 245.582031 1691927620.9512
MEM 275.136719 1691927621.0620
MEM 267.132812 1691927621.1662
MEM 227.113281 1691927621.2695
MEM 283.140625 1691927621.3809
MEM 275.136719 1691927621.4920
MEM 283.140625 1691927621.6027
MEM 283.140625 1691927621.7150
MEM 271.164062 1691927621.8260
MEM 283.140625 1691927621.9361
MEM 235.710938 1691927622.0466
MEM 283.140625 1691927622.1541
MEM 275.136719 1691927622.2618
MEM 283.140625 1691927622.3646
MEM 283.140625 1691927622.4695
MEM 237.097656 1691927622.5754
MEM 283.140625 1691927622.6786
MEM 275.136719 1691927622.7827
MEM 271.347656 1691927622.8942
MEM 283.140625 1691927623.0064
MEM 243.121094 1691927623.1170
MEM 283.140625 1691927623.2285
MEM 275.136719 1691927623.3390
MEM 283.140625 1691927623.4494
MEM 283.140625 1691927623.5603
MEM 274.417969 1691927623.6725
MEM 283.140625 1691927623.7835
MEM 275.136719 1691927623.8945
MEM 251.125000 1691927624.0049
MEM 251.125000 1691927624.1157
MEM 266.148438 1691927624.2205
MEM 275.136719 1691927624.3324
MEM 267.132812 1691927624.4434
MEM 275.136719 1691927624.5539
MEM 267.132812 1691927624.6638
MEM 279.128906 1691927624.7754
MEM 275.136719 1691927624.8829
MEM 259.183594 1691927624.9935
MEM 275.136719 1691927625.1048
MEM 267.132812 1691927625.2154
MEM 275.136719 1691927625.3267
MEM 275.136719 1691927625.4330
MEM 243.609375 1691927625.5442
MEM 275.136719 1691927625.6552
MEM 267.132812 1691927625.7673
MEM 275.136719 1691927625.8788
MEM 275.136719 1691927625.9898
MEM 257.519531 1691927626.1001
MEM 275.136719 1691927626.2113
MEM 267.132812 1691927626.3224
MEM 275.136719 1691927626.4307
MEM 267.132812 1691927626.5463
MEM 279.195312 1691927626.6578
MEM 275.136719 1691927626.7688
MEM 227.113281 1691927626.8803
MEM 287.253906 1691927626.9955
MEM 283.140625 1691927627.1063
MEM 238.746094 1691927627.2170
MEM 283.140625 1691927627.3275
MEM 275.136719 1691927627.4378
MEM 295.093750 1691927627.5410
MEM 283.140625 1691927627.6524
MEM 274.867188 1691927627.7631
MEM 283.140625 1691927627.8747
MEM 275.136719 1691927627.9865
MEM 283.140625 1691927628.0979
MEM 283.140625 1691927628.2087
MEM 252.292969 1691927628.3194
MEM 283.140625 1691927628.4311
MEM 275.136719 1691927628.5346
MEM 283.140625 1691927628.6465
MEM 283.140625 1691927628.7571
MEM 262.441406 1691927628.8674
MEM 283.140625 1691927628.9779
MEM 275.136719 1691927629.0936
MEM 283.140625 1691927629.2048
FUNC __main__.get_U 218.2031 1691927607.7057 227.1133 1691927610.3664 0
FUNC __main__.get_U 227.1133 1691927610.3664 235.1172 1691927612.9714 0
FUNC __main__.get_U 219.1094 1691927613.1719 227.1133 1691927615.7771 0
FUNC __main__.get_U 227.1133 1691927615.7771 235.1172 1691927618.3642 0
FUNC __main__.get_U 219.1094 1691927618.5796 227.1133 1691927621.2142 0
FUNC __main__.get_U 227.1133 1691927621.2158 235.1172 1691927623.9101 0
FUNC __main__.get_U 219.1094 1691927624.1210 227.1133 1691927626.8692 0
FUNC __main__.get_U 227.1133 1691927626.8692 235.1172 1691927629.6369 0
MEM 275.136719 1691927629.3149
MEM 279.054688 1691927629.4255
MEM 283.140625 1691927629.5362
MEM 239.269531 1691927629.6479
MEM 251.125000 1691927629.7588
MEM 203.296875 1691927629.8652
MEM 203.519531 1691927629.9752
MEM 203.554688 1691927630.0853
MEM 179.980469 1691927630.2133
MEM 72.976562 1691927630.3473
