CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.667969 1691406647.3067
MEM 8.847656 1691406647.4125
MEM 13.566406 1691406647.5165
MEM 18.554688 1691406647.6194
MEM 22.753906 1691406647.7234
MEM 26.050781 1691406647.8341
MEM 29.449219 1691406647.9384
MEM 31.300781 1691406648.0502
MEM 34.945312 1691406648.1536
MEM 35.652344 1691406648.2654
MEM 37.636719 1691406648.3685
MEM 39.726562 1691406648.4702
MEM 41.750000 1691406648.5825
MEM 50.128906 1691406648.6860
MEM 65.343750 1691406648.7901
MEM 76.539062 1691406648.9030
MEM 82.125000 1691406649.0220
MEM 94.468750 1691406649.1332
MEM 108.718750 1691406649.2365
MEM 111.980469 1691406649.3387
MEM 119.148438 1691406649.4448
MEM 125.773438 1691406649.5498
MEM 128.500000 1691406649.6516
MEM 130.910156 1691406649.7546
MEM 132.578125 1691406649.8655
MEM 133.570312 1691406649.9691
MEM 137.562500 1691406650.0713
MEM 138.914062 1691406650.1820
MEM 140.289062 1691406650.2860
MEM 141.128906 1691406650.3867
MEM 141.953125 1691406650.5005
MEM 142.980469 1691406650.6028
MEM 145.164062 1691406650.7030
MEM 147.210938 1691406650.8065
MEM 149.031250 1691406650.9178
MEM 151.261719 1691406651.0211
MEM 153.757812 1691406651.1230
MEM 156.242188 1691406651.2369
MEM 159.132812 1691406651.3400
MEM 161.554688 1691406651.4527
MEM 163.230469 1691406651.5542
MEM 165.136719 1691406651.6620
MEM 166.558594 1691406651.7693
MEM 167.238281 1691406651.8733
MEM 170.093750 1691406651.9831
MEM 172.203125 1691406652.0858
MEM 174.976562 1691406652.1963
MEM 179.125000 1691406652.2990
MEM 183.722656 1691406652.4010
MEM 188.402344 1691406652.5058
MEM 190.816406 1691406652.6181
MEM 194.476562 1691406652.7252
MEM 194.652344 1691406652.8372
MEM 194.968750 1691406652.9485
MEM 195.332031 1691406653.0524
MEM 197.679688 1691406653.1553
MEM 220.339844 1691406653.2596
MEM 237.890625 1691406653.3620
MEM 258.492188 1691406653.4728
MEM 274.902344 1691406653.5790
MEM 295.710938 1691406653.6941
MEM 318.628906 1691406653.8084
MEM 338.148438 1691406653.9156
MEM 351.386719 1691406654.0240
MEM 371.523438 1691406654.1364
MEM 387.421875 1691406654.2429
MEM 402.429688 1691406654.3495
MEM 420.253906 1691406654.4563
MEM 434.089844 1691406654.5614
MEM 450.480469 1691406654.6747
MEM 462.125000 1691406654.7830
MEM 476.273438 1691406654.8899
MEM 497.046875 1691406655.0045
MEM 513.691406 1691406655.1098
MEM 530.597656 1691406655.2226
MEM 548.808594 1691406655.3293
MEM 565.601562 1691406655.4436
MEM 580.785156 1691406655.5495
MEM 593.082031 1691406655.6571
MEM 611.246094 1691406655.7721
MEM 618.261719 1691406655.8820
MEM 633.710938 1691406655.9825
MEM 648.585938 1691406656.0830
MEM 669.039062 1691406656.1985
MEM 690.664062 1691406656.3025
MEM 710.519531 1691406656.4102
MEM 726.667969 1691406656.5171
MEM 745.929688 1691406656.6238
MEM 772.195312 1691406656.7373
MEM 793.304688 1691406656.8518
MEM 815.960938 1691406656.9591
MEM 836.683594 1691406657.0647
MEM 841.109375 1691406657.1704
MEM 784.042969 1691406657.2737
MEM 760.835938 1691406657.3777
MEM 734.339844 1691406657.4781
MEM 705.308594 1691406657.5872
MEM 685.378906 1691406657.6933
MEM 651.535156 1691406657.8080
MEM 626.585938 1691406657.9159
MEM 599.679688 1691406658.0238
MEM 570.437500 1691406658.1322
MEM 551.484375 1691406658.2349
MEM 524.562500 1691406658.3371
MEM 497.574219 1691406658.4474
MEM 475.574219 1691406658.5508
MEM 450.523438 1691406658.6595
MEM 421.855469 1691406658.7596
MEM 397.277344 1691406658.8655
MEM 372.738281 1691406658.9738
MEM 343.191406 1691406659.0890
MEM 317.914062 1691406659.1970
MEM 287.503906 1691406659.3060
MEM 261.875000 1691406659.4116
MEM 239.917969 1691406659.5268
MEM 213.957031 1691406659.6321
MEM 208.835938 1691406659.7412
MEM 208.835938 1691406659.8476
MEM 208.835938 1691406659.9555
MEM 208.835938 1691406660.0592
MEM 208.835938 1691406660.1621
MEM 208.835938 1691406660.2638
MEM 208.835938 1691406660.3711
MEM 208.835938 1691406660.4797
MEM 208.835938 1691406660.5879
MEM 208.835938 1691406660.6955
MEM 208.835938 1691406660.8022
MEM 208.835938 1691406660.9045
MEM 208.835938 1691406661.0123
MEM 208.835938 1691406661.1167
MEM 208.835938 1691406661.2283
MEM 208.835938 1691406661.3327
MEM 208.835938 1691406661.4380
MEM 208.835938 1691406661.5529
MEM 208.835938 1691406661.6614
MEM 208.835938 1691406661.7662
