CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.683594 1691408820.9775
MEM 9.937500 1691408821.0880
MEM 16.171875 1691408821.2021
MEM 21.390625 1691408821.3173
MEM 23.937500 1691408821.4182
MEM 28.070312 1691408821.5195
MEM 30.359375 1691408821.6396
MEM 33.761719 1691408821.7553
MEM 35.269531 1691408821.8641
MEM 35.304688 1691408821.9702
MEM 38.996094 1691408822.0839
MEM 40.703125 1691408822.1919
MEM 42.687500 1691408822.2954
MEM 56.824219 1691408822.4030
MEM 71.167969 1691408822.5108
MEM 80.273438 1691408822.6166
MEM 87.507812 1691408822.7186
MEM 105.425781 1691408822.8221
MEM 110.031250 1691408822.9279
MEM 118.417969 1691408823.0325
MEM 123.855469 1691408823.1359
MEM 126.894531 1691408823.2385
MEM 128.554688 1691408823.3406
MEM 130.507812 1691408823.4495
MEM 131.960938 1691408823.5529
MEM 132.402344 1691408823.6557
MEM 132.886719 1691408823.7628
MEM 136.988281 1691408823.8668
MEM 138.320312 1691408823.9701
MEM 138.906250 1691408824.0793
MEM 140.238281 1691408824.1932
MEM 141.332031 1691408824.3225
MEM 142.273438 1691408824.4254
MEM 144.355469 1691408824.5356
MEM 146.996094 1691408824.6404
MEM 150.027344 1691408824.7495
MEM 153.445312 1691408824.8587
MEM 155.949219 1691408824.9598
MEM 159.277344 1691408825.0624
MEM 162.582031 1691408825.1659
MEM 165.636719 1691408825.2750
MEM 166.757812 1691408825.3811
MEM 168.609375 1691408825.4836
MEM 171.929688 1691408825.5916
MEM 179.171875 1691408825.7033
MEM 184.667969 1691408825.8148
MEM 189.250000 1691408825.9196
MEM 189.421875 1691408826.0329
MEM 191.117188 1691408826.1463
MEM 191.371094 1691408826.2616
MEM 191.546875 1691408826.3660
MEM 191.820312 1691408826.4690
MEM 192.042969 1691408826.5726
MEM 192.246094 1691408826.6731
MEM 210.281250 1691408826.7830
MEM 226.820312 1691408826.8893
MEM 241.941406 1691408826.9985
MEM 260.527344 1691408827.1020
MEM 288.140625 1691408827.2050
MEM 306.535156 1691408827.3166
MEM 323.476562 1691408827.4201
MEM 339.117188 1691408827.5318
MEM 356.277344 1691408827.6356
MEM 383.902344 1691408827.7471
MEM 403.179688 1691408827.8513
MEM 420.023438 1691408827.9550
MEM 436.085938 1691408828.0600
MEM 452.406250 1691408828.1664
MEM 454.910156 1691408828.2714
MEM 481.421875 1691408828.3734
MEM 500.058594 1691408828.4836
MEM 516.757812 1691408828.5865
MEM 546.097656 1691408828.6983
MEM 564.789062 1691408828.8046
MEM 581.121094 1691408828.9155
MEM 597.308594 1691408829.0195
MEM 613.941406 1691408829.1347
MEM 634.886719 1691408829.2377
MEM 660.777344 1691408829.3496
MEM 677.914062 1691408829.4536
MEM 702.800781 1691408829.5659
MEM 711.429688 1691408829.6690
MEM 730.574219 1691408829.7807
