CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.660156 1691408089.3130
MEM 10.007812 1691408089.4221
MEM 16.281250 1691408089.5245
MEM 21.128906 1691408089.6263
MEM 23.988281 1691408089.7303
MEM 28.261719 1691408089.8400
MEM 30.265625 1691408089.9423
MEM 33.593750 1691408090.0438
MEM 35.277344 1691408090.1554
MEM 36.679688 1691408090.2588
MEM 39.203125 1691408090.3638
MEM 40.773438 1691408090.4743
MEM 41.945312 1691408090.5771
MEM 54.570312 1691408090.6809
MEM 73.636719 1691408090.7909
MEM 82.593750 1691408090.8949
MEM 104.695312 1691408091.0061
MEM 109.230469 1691408091.1118
MEM 114.042969 1691408091.2139
MEM 124.093750 1691408091.3254
MEM 128.671875 1691408091.4377
MEM 131.511719 1691408091.5415
MEM 132.683594 1691408091.6444
MEM 136.730469 1691408091.7484
MEM 138.449219 1691408091.8606
MEM 139.671875 1691408091.9636
MEM 141.339844 1691408092.0741
MEM 142.398438 1691408092.1792
MEM 144.117188 1691408092.2904
MEM 145.300781 1691408092.3941
MEM 147.253906 1691408092.5060
MEM 150.765625 1691408092.6085
MEM 154.324219 1691408092.7125
MEM 158.976562 1691408092.8241
MEM 162.347656 1691408092.9281
MEM 165.722656 1691408093.0396
MEM 167.566406 1691408093.1421
MEM 171.328125 1691408093.2559
MEM 175.394531 1691408093.3593
MEM 181.363281 1691408093.4631
MEM 184.632812 1691408093.5736
MEM 188.363281 1691408093.6764
MEM 189.234375 1691408093.7889
MEM 191.132812 1691408093.8925
MEM 191.347656 1691408094.0060
MEM 191.691406 1691408094.1099
MEM 191.917969 1691408094.2209
MEM 192.332031 1691408094.3240
MEM 195.503906 1691408094.4295
MEM 223.097656 1691408094.5401
MEM 227.269531 1691408094.6532
MEM 227.273438 1691408094.7576
MEM 227.273438 1691408094.8636
MEM 227.273438 1691408094.9739
MEM 227.273438 1691408095.0770
MEM 227.273438 1691408095.1896
MEM 227.285156 1691408095.2937
MEM 242.890625 1691408095.4066
MEM 259.394531 1691408095.5114
MEM 259.394531 1691408095.6271
MEM 259.394531 1691408095.7375
MEM 259.394531 1691408095.8415
MEM 269.992188 1691408095.9545
MEM 291.527344 1691408096.0613
MEM 291.527344 1691408096.1742
MEM 291.527344 1691408096.2771
MEM 291.527344 1691408096.3919
MEM 299.292969 1691408096.5063
MEM 323.882812 1691408096.6113
MEM 323.882812 1691408096.7258
MEM 323.882812 1691408096.8373
MEM 323.882812 1691408096.9422
MEM 323.882812 1691408097.0540
MEM 323.882812 1691408097.1609
MEM 324.070312 1691408097.2703
MEM 325.585938 1691408097.3750
MEM 349.984375 1691408097.4804
MEM 357.300781 1691408097.5927
MEM 357.300781 1691408097.7077
MEM 357.300781 1691408097.8115
MEM 357.300781 1691408097.9233
MEM 357.300781 1691408098.0268
MEM 357.300781 1691408098.1385
MEM 357.300781 1691408098.2412
MEM 357.300781 1691408098.3444
MEM 357.300781 1691408098.4562
MEM 357.300781 1691408098.5598
MEM 357.300781 1691408098.6736
MEM 357.300781 1691408098.7784
MEM 357.300781 1691408098.8902
MEM 357.300781 1691408098.9936
MEM 357.300781 1691408099.1059
MEM 357.300781 1691408099.2073
MEM 357.300781 1691408099.3106
MEM 357.300781 1691408099.4165
MEM 357.300781 1691408099.5276
MEM 357.300781 1691408099.6329
MEM 357.300781 1691408099.7442
MEM 357.300781 1691408099.8522
MEM 357.300781 1691408099.9578
MEM 357.300781 1691408100.0638
MEM 357.300781 1691408100.1761
MEM 357.300781 1691408100.2798
MEM 357.300781 1691408100.3899
MEM 357.300781 1691408100.4922
MEM 357.300781 1691408100.6036
MEM 357.300781 1691408100.7085
MEM 357.300781 1691408100.8223
MEM 357.300781 1691408100.9286
MEM 357.300781 1691408101.0358
MEM 357.300781 1691408101.1501
MEM 357.300781 1691408101.2582
MEM 357.300781 1691408101.3607
MEM 357.300781 1691408101.4725
MEM 357.300781 1691408101.5780
MEM 357.300781 1691408101.6895
MEM 357.300781 1691408101.7934
MEM 357.300781 1691408101.9051
