CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.574219 1691405839.9465
MEM 9.191406 1691405840.0680
MEM 13.699219 1691405840.1828
MEM 16.714844 1691405840.2860
MEM 21.437500 1691405840.3899
MEM 25.265625 1691405840.5015
MEM 28.628906 1691405840.6038
MEM 30.542969 1691405840.7051
MEM 34.113281 1691405840.8169
MEM 35.234375 1691405840.9196
MEM 36.898438 1691405841.0329
MEM 39.390625 1691405841.1349
MEM 40.910156 1691405841.2372
MEM 41.664062 1691405841.3409
MEM 48.640625 1691405841.4585
MEM 61.718750 1691405841.5661
MEM 78.242188 1691405841.6696
MEM 85.859375 1691405841.7726
MEM 107.476562 1691405841.8845
MEM 111.539062 1691405841.9860
MEM 121.972656 1691405842.0912
MEM 127.636719 1691405842.2015
MEM 130.164062 1691405842.3056
MEM 131.605469 1691405842.4175
MEM 132.628906 1691405842.5199
MEM 133.238281 1691405842.6242
MEM 137.789062 1691405842.7334
MEM 138.558594 1691405842.8358
MEM 139.492188 1691405842.9394
MEM 141.449219 1691405843.0498
MEM 142.226562 1691405843.1512
MEM 143.527344 1691405843.2582
MEM 145.085938 1691405843.3680
MEM 147.035156 1691405843.4716
MEM 149.214844 1691405843.5755
MEM 153.515625 1691405843.6858
MEM 156.253906 1691405843.7891
MEM 159.031250 1691405843.8907
MEM 161.035156 1691405844.0019
MEM 163.082031 1691405844.1056
MEM 165.652344 1691405844.2166
MEM 167.089844 1691405844.3198
MEM 167.898438 1691405844.4270
MEM 170.804688 1691405844.5346
MEM 172.945312 1691405844.6383
MEM 176.644531 1691405844.7498
MEM 181.722656 1691405844.8537
MEM 185.558594 1691405844.9645
MEM 189.613281 1691405845.0700
MEM 191.312500 1691405845.1804
MEM 191.617188 1691405845.2945
MEM 191.917969 1691405845.4008
MEM 192.187500 1691405845.5039
MEM 192.656250 1691405845.6086
MEM 238.281250 1691405845.7179
MEM 288.980469 1691405845.8217
MEM 337.289062 1691405845.9333
MEM 383.898438 1691405846.0366
MEM 435.425781 1691405846.1483
MEM 477.890625 1691405846.2512
MEM 523.980469 1691405846.3551
MEM 574.195312 1691405846.4667
MEM 618.910156 1691405846.5700
MEM 662.378906 1691405846.6815
MEM 706.648438 1691405846.7853
MEM 744.925781 1691405846.8888
MEM 795.582031 1691405847.0005
MEM 839.578125 1691405847.1031
MEM 841.445312 1691405847.2082
MEM 831.519531 1691405847.3186
MEM 762.238281 1691405847.4217
MEM 717.894531 1691405847.5371
MEM 674.859375 1691405847.6481
MEM 624.398438 1691405847.7518
MEM 585.296875 1691405847.8558
MEM 534.328125 1691405847.9669
MEM 486.003906 1691405848.0722
MEM 436.777344 1691405848.1836
MEM 398.011719 1691405848.2860
MEM 355.804688 1691405848.3905
MEM 308.914062 1691405848.5010
MEM 264.953125 1691405848.6047
MEM 221.914062 1691405848.7090
MEM 220.933594 1691405848.8162
MEM 264.761719 1691405848.9290
MEM 313.183594 1691405849.0340
MEM 354.089844 1691405849.1383
MEM 401.781250 1691405849.2470
MEM 445.714844 1691405849.3507
MEM 495.398438 1691405849.4622
MEM 542.476562 1691405849.5680
MEM 578.523438 1691405849.6684
MEM 614.417969 1691405849.7728
MEM 659.601562 1691405849.8883
MEM 703.121094 1691405850.0004
MEM 736.000000 1691405850.1011
MEM 777.140625 1691405850.2075
MEM 815.753906 1691405850.3212
MEM 848.335938 1691405850.4282
MEM 842.363281 1691405850.5382
MEM 785.238281 1691405850.6452
MEM 763.550781 1691405850.7601
MEM 736.320312 1691405850.8721
MEM 703.105469 1691405850.9803
MEM 687.019531 1691405851.0961
MEM 653.433594 1691405851.2000
MEM 621.457031 1691405851.3104
MEM 582.335938 1691405851.4206
MEM 538.738281 1691405851.5332
MEM 506.058594 1691405851.6379
MEM 488.238281 1691405851.7472
MEM 466.363281 1691405851.8589
MEM 431.679688 1691405851.9736
MEM 387.804688 1691405852.0882
MEM 345.605469 1691405852.2046
MEM 301.011719 1691405852.3146
MEM 258.289062 1691405852.4197
MEM 215.140625 1691405852.5317
MEM 263.031250 1691405852.6375
MEM 316.054688 1691405852.7492
MEM 364.039062 1691405852.8525
MEM 416.500000 1691405852.9563
MEM 469.273438 1691405853.0676
MEM 523.898438 1691405853.1802
MEM 571.058594 1691405853.2867
MEM 620.898438 1691405853.3988
MEM 659.789062 1691405853.4995
MEM 671.480469 1691405853.5999
MEM 709.605469 1691405853.7003
MEM 752.667969 1691405853.8036
MEM 802.550781 1691405853.9147
MEM 842.316406 1691405854.0189
MEM 848.507812 1691405854.1240
MEM 777.480469 1691405854.2366
MEM 747.984375 1691405854.3385
MEM 707.750000 1691405854.4496
MEM 671.589844 1691405854.5524
MEM 630.582031 1691405854.6634
MEM 591.941406 1691405854.7673
MEM 546.453125 1691405854.8723
MEM 506.781250 1691405854.9832
MEM 462.707031 1691405855.0873
MEM 424.281250 1691405855.1874
MEM 381.960938 1691405855.2993
MEM 340.734375 1691405855.4017
MEM 299.660156 1691405855.5043
MEM 257.023438 1691405855.6049
MEM 217.085938 1691405855.7162
MEM 258.156250 1691405855.8205
MEM 307.652344 1691405855.9322
MEM 349.160156 1691405856.0358
MEM 396.343750 1691405856.1394
MEM 438.164062 1691405856.2440
MEM 460.437500 1691405856.3454
MEM 479.480469 1691405856.4503
MEM 521.199219 1691405856.5535
MEM 577.390625 1691405856.6689
MEM 613.066406 1691405856.7808
MEM 641.523438 1691405856.8909
MEM 689.679688 1691405857.0041
MEM 742.015625 1691405857.1177
MEM 777.609375 1691405857.2203
MEM 800.089844 1691405857.3242
MEM 843.156250 1691405857.4316
MEM 848.503906 1691405857.5386
MEM 769.664062 1691405857.6501
MEM 724.449219 1691405857.7537
MEM 692.066406 1691405857.8615
MEM 664.515625 1691405857.9667
MEM 623.855469 1691405858.0684
MEM 585.136719 1691405858.1718
MEM 533.703125 1691405858.2814
MEM 499.812500 1691405858.3839
MEM 455.855469 1691405858.4946
MEM 410.160156 1691405858.6040
MEM 366.500000 1691405858.7152
MEM 323.500000 1691405858.8182
MEM 276.281250 1691405858.9223
MEM 239.226562 1691405859.0292
MEM 234.480469 1691405859.1381
MEM 287.718750 1691405859.2502
MEM 330.039062 1691405859.3535
MEM 380.796875 1691405859.4645
MEM 430.480469 1691405859.5699
MEM 480.511719 1691405859.6805
MEM 530.433594 1691405859.7842
MEM 578.875000 1691405859.8874
MEM 625.558594 1691405859.9980
MEM 674.269531 1691405860.1015
MEM 720.503906 1691405860.2048
MEM 761.480469 1691405860.3155
MEM 807.914062 1691405860.4185
MEM 848.851562 1691405860.5228
MEM 848.917969 1691405860.6317
MEM 784.957031 1691405860.7329
MEM 744.859375 1691405860.8368
MEM 702.996094 1691405860.9464
MEM 662.460938 1691405861.0494
MEM 620.785156 1691405861.1533
MEM 574.105469 1691405861.2648
MEM 538.035156 1691405861.3700
MEM 490.339844 1691405861.4801
MEM 446.546875 1691405861.5831
MEM 403.675781 1691405861.6872
MEM 365.718750 1691405861.7986
MEM 321.996094 1691405861.9009
MEM 276.148438 1691405862.0050
MEM 223.328125 1691405862.1158
MEM 242.093750 1691405862.2207
MEM 288.289062 1691405862.3324
MEM 335.933594 1691405862.4357
MEM 385.539062 1691405862.5470
MEM 434.277344 1691405862.6501
MEM 473.558594 1691405862.7503
MEM 521.382812 1691405862.8530
MEM 572.976562 1691405862.9639
MEM 617.460938 1691405863.0671
MEM 664.328125 1691405863.1702
MEM 717.566406 1691405863.2822
MEM 754.664062 1691405863.3857
MEM 783.921875 1691405863.4977
MEM 819.378906 1691405863.5982
MEM 848.566406 1691405863.6991
MEM 833.714844 1691405863.8032
MEM 763.246094 1691405863.9147
MEM 712.367188 1691405864.0173
MEM 673.925781 1691405864.1201
MEM 655.394531 1691405864.2316
MEM 620.089844 1691405864.3389
MEM 583.375000 1691405864.4473
MEM 537.953125 1691405864.5505
MEM 514.082031 1691405864.6571
MEM 501.972656 1691405864.7584
MEM 476.292969 1691405864.8626
MEM 436.988281 1691405864.9658
MEM 399.562500 1691405865.0700
MEM 369.714844 1691405865.1733
MEM 323.914062 1691405865.2827
MEM 287.539062 1691405865.3843
MEM 247.390625 1691405865.4872
MEM 224.457031 1691405865.5988
MEM 267.296875 1691405865.7034
MEM 320.628906 1691405865.8142
MEM 364.734375 1691405865.9183
MEM 416.214844 1691405866.0301
MEM 467.277344 1691405866.1345
MEM 515.687500 1691405866.2449
MEM 556.562500 1691405866.3480
