CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe .\hamiltonian_phase2.py
MEM 1.667969 1691405779.8665
MEM 9.460938 1691405779.9729
MEM 15.906250 1691405780.0782
MEM 20.632812 1691405780.1815
MEM 23.695312 1691405780.2944
MEM 27.820312 1691405780.4005
MEM 30.457031 1691405780.5112
MEM 33.558594 1691405780.6143
MEM 35.480469 1691405780.7260
MEM 36.453125 1691405780.8291
MEM 39.281250 1691405780.9327
MEM 40.464844 1691405781.0438
MEM 41.695312 1691405781.1469
MEM 43.035156 1691405781.2620
MEM 43.492188 1691405781.3669
MEM 43.816406 1691405781.4775
MEM 43.816406 1691405781.5804
MEM 43.816406 1691405781.6916
MEM 43.816406 1691405781.7939
MEM 43.816406 1691405781.8981
MEM 43.816406 1691405782.0100
MEM 43.816406 1691405782.1130
MEM 43.816406 1691405782.2245
MEM 43.949219 1691405782.3286
MEM 60.253906 1691405782.4412
MEM 78.226562 1691405782.5451
MEM 85.824219 1691405782.6498
MEM 99.679688 1691405782.7597
MEM 103.605469 1691405782.8630
MEM 105.531250 1691405782.9759
MEM 108.886719 1691405783.0794
MEM 110.906250 1691405783.1821
MEM 112.511719 1691405783.2940
MEM 113.386719 1691405783.3974
MEM 121.500000 1691405783.5086
MEM 124.648438 1691405783.6114
MEM 127.894531 1691405783.7150
MEM 129.417969 1691405783.8254
MEM 130.332031 1691405783.9309
MEM 131.398438 1691405784.0468
MEM 132.890625 1691405784.1501
MEM 133.777344 1691405784.2604
MEM 137.996094 1691405784.3637
MEM 139.101562 1691405784.4725
MEM 140.769531 1691405784.5787
MEM 141.917969 1691405784.6825
MEM 144.406250 1691405784.7933
MEM 146.199219 1691405784.8966
MEM 147.691406 1691405784.9970
MEM 149.417969 1691405785.1109
MEM 151.394531 1691405785.2136
MEM 153.937500 1691405785.3253
MEM 155.726562 1691405785.4289
MEM 157.378906 1691405785.5407
MEM 160.121094 1691405785.6428
MEM 162.199219 1691405785.7457
MEM 163.562500 1691405785.8493
MEM 165.976562 1691405785.9603
MEM 167.148438 1691405786.0636
MEM 167.589844 1691405786.1757
MEM 169.171875 1691405786.2805
MEM 171.148438 1691405786.3908
MEM 172.847656 1691405786.4943
MEM 177.468750 1691405786.6073
MEM 183.328125 1691405786.7108
MEM 186.117188 1691405786.8135
MEM 191.019531 1691405786.9275
MEM 191.207031 1691405787.0328
MEM 191.453125 1691405787.1333
MEM 180.164062 1691405787.2497
